Quadras;longitude;latitude
157;-45,22450128;-22,79747518
1570;-45,20088679;-22,81385518
1579;-45,19739094;-22,81309187
158;-45,22450128;-22,79747518
1583;-45,20495092;-22,81387479
159;-45,22450128;-22,79747518
1596;-45,20419045;-22,81715526
16;-45,24943705;-22,78225643
160;-45,22450128;-22,79747518
1604;-45,21081723;-22,82925587
161;-45,22450128;-22,79747518
1612;-45,20966142;-22,82880305
1612;-45,20964509;-22,82847002
1615;-45,20753449;-22,82647315
162;-45,2214662;-22,79529411
1629;-45,20601833;-22,8213973
163;-45,22141542;-22,79524796
1632;-45,20362816;-22,82385286
1637;-45,19851869;-22,81909919
164;-45,22141542;-22,79524796
165;-45,22141542;-22,79524796
166;-45,22141542;-22,79524796
167;-45,22287027;-22,79536407
168;-45,22088214;-22,79787683
169;-45,21905985;-22,79787591
17;-45,24983477;-22,7804697
170;-45,21905985;-22,79787591
171;-45,21905985;-22,79787591
172;-45,22161637;-22,79776873
173;-45,21905985;-22,79787591
174;-45,21905985;-22,79787591
175;-45,2278091;-22,79666247
176;-45,2278091;-22,79666247
178;-45,22125925;-22,79676267
179;-45,2195629;-22,79815754
18;-45,24770862;-22,77857999
180;-45,21905985;-22,79787591
181;-45,22333315;-22,79997678
182;-45,22333315;-22,79997678
183;-45,22039978;-22,79999614
184;-45,2200582;-22,79902952
185;-45,2200582;-22,79902952
186;-45,21895677;-22,7989276
187;-45,21895677;-22,7989276
188;-45,21895677;-22,7989276
189;-45,22067881;-22,79907814
19;-45,24528245;-22,78351234
190;-45,22235714;-22,80067773
191;-45,22235714;-22,80067773
192;-45,21620178;-22,79920743
193;-45,21620178;-22,79920743
194;-45,21620178;-22,79920743
195;-45,21620178;-22,79920743
196;-45,21620178;-22,79920743
197;-45,21620178;-22,79920743
198;-45,2214995;-22,80119586
199;-45,21773835;-22,79890417
20;-45,25531029;-22,7835507
200;-45,21773835;-22,79890417
201;-45,2180276;-22,79952257
202;-45,21536197;-22,79870782
203;-45,21620178;-22,79920743
204;-45,21620178;-22,79920743
205;-45,21332189;-22,80172043
206;-45,21332189;-22,80172043
207;-45,21323606;-22,80033837
208;-45,21299344;-22,80014992
209;-45,21197628;-22,79993146
21;-45,25154116;-22,78043637
210;-45,21193781;-22,80024883
211;-45,21129336;-22,79993718
212;-45,20953218;-22,8016145
212;-45,20953218;-22,8016145
213;-45,21332189;-22,80172043
214;-45,21332189;-22,80172043
215;-45,21332189;-22,80172043
216;-45,21332189;-22,80172043
217;-45,21332189;-22,80172043
218;-45,21073486;-22,80156784
219;-45,20937201;-22,80267791
22;-45,25154116;-22,78043637
220;-45,20953218;-22,8016145
221;-45,21238779;-22,80076435
222;-45,21326398;-22,80126138
223;-45,21200288;-22,80306925
224;-45,21181865;-22,80397669
224;-45,21181865;-22,80397669
224;-45,21181865;-22,80397669
224;-45,21181865;-22,80397669
225;-45,21138131;-22,80260815
225;-45,21025109;-22,80515116
244.1;-45,21028425;-22,80569816
226;-45,20952095;-22,803834
227;-45,20953218;-22,8016145
228;-45,20939738;-22,8027316
229;-45,20941075;-22,803004
23;-45,25154116;-22,78043637
230;-45,20845064;-22,80388823
231;-45,20845064;-22,80388823
232;-45,2104708;-22,80395344
233;-45,20952095;-22,803834
234;-45,20952095;-22,803834
235;-45,20952095;-22,803834
237;-45,21058935;-22,80525773
238;-45,21058935;-22,80525773
239;-45,21021861;-22,80682009
24;-45,25154116;-22,78043637
240;-45,21021861;-22,80682009
241;-45,20895476;-22,80515836
242;-45,21058935;-22,80525773
243;-45,20963034;-22,80462675
244;-45,20895476;-22,80515836
245;-45,24038837;-22,80529423
246;-45,24038837;-22,80529423
247;-45,23836365;-22,80503776
248;-45,23764293;-22,80453974
249;-45,23655974;-22,80530649
249;-45,23655974;-22,80530649
25;-45,24528245;-22,78351234
250;-45,23727395;-22,80550582
251;-45,23919095;-22,80567468
252;-45,23612219;-22,80605797
254;-45,24145338;-22,80524507
26;-45,25152625;-22,78355485
26;-45,25152625;-22,78355485
26;-45,25152625;-22,78355485
263;-45,23494551;-22,80606583
264;-45,23927818;-22,80833819
265;-45,24135367;-22,80936635
267;-45,23742288;-22,80776037
267;-45,23742288;-22,80776037
27;-45,25307172;-22,7852671
271;-45,23494551;-22,80606583
272;-45,23749525;-22,81119928
275;-45,20684302;-22,77218265
28;-45,2474859;-22,78355495
286;-45,21948471;-22,77836323
29;-45,24969842;-22,78331925
294;-45,20684302;-22,77218265
297;-45,2193231;-22,77966845
30;-45,2471907;-22,78539836
306;-45,22120877;-22,78078594
307;-45,21948471;-22,77836323
308;-45,22956829;-22,78251235
31;-45,2471907;-22,78539836
315;-45,21018746;-22,7791898
318;-45,20734464;-22,77874871
319;-45,23165409;-22,78378835
32;-45,25237138;-22,78428543
320;-45,22787402;-22,78559504
321;-45,22467242;-22,78561802
322;-45,22677149;-22,78456201
323;-45,22248977;-22,78730543
324;-45,23165409;-22,78378835
325;-45,2310607;-22,78510987
326;-45,2310607;-22,78510987
327;-45,2301923;-22,78510869
328;-45,22870866;-22,78635907
329;-45,22926128;-22,7862699
33;-45,2471907;-22,78539836
330;-45,22904467;-22,78772406
330;-45,22904467;-22,78772406
331;-45,22566516;-22,78689216
332;-45,22493078;-22,78585216
333;-45,22493078;-22,78585216
334;-45,22493078;-22,78585216
335;-45,22617057;-22,7863848
336;-45,22352294;-22,78700606
337;-45,22687154;-22,7870288
338;-45,22617057;-22,7863848
339;-45,22150585;-22,78818075
34;-45,2471907;-22,78539836
340;-45,22008137;-22,78853251
340;-45,21548425;-22,78945684
340;-45,22008137;-22,78853251
341;-45,22150585;-22,78818075
342;-45,22787402;-22,78559504
343;-45,22787402;-22,78559504
344;-45,23270292;-22,78529574
345;-45,22579654;-22,78815391
346;-45,22579654;-22,78815391
347;-45,22579654;-22,78815391
348;-45,22537041;-22,79002541
349;-45,22579654;-22,78815391
35;-45,24959758;-22,78624773
350;-45,2242067;-22,78683835
351;-45,22687154;-22,7870288
352;-45,2242067;-22,78683835
353;-45,2242067;-22,78683835
354;-45,22150585;-22,78818075
355;-45,22436072;-22,78806918
356;-45,22436072;-22,78806918
357;-45,22436072;-22,78806918
358;-45,22088701;-22,78947891
359;-45,22502268;-22,78789574
36;-45,2670213;-22,79269703
360;-45,22044438;-22,78957882
361;-45,2198429;-22,7900732
362;-45,22702315;-22,79054439
363;-45,21952847;-22,79272702
364;-45,21089108;-22,78816727
364;-45,21052339;-22,78685467
365;-45,21050191;-22,78722635
366;-45,20888556;-22,78481856
368;-45,21050191;-22,78722635
369;-45,20802696;-22,78596072
37;-45,2670213;-22,79269703
370;-45,20810966;-22,78702986
371;-45,20810966;-22,78702986
372;-45,20574756;-22,78451382
373;-45,20810966;-22,78702986
374;-45,20927105;-22,78929558
375;-45,20927105;-22,78929558
376;-45,20931278;-22,78842223
377;-45,20931278;-22,78842223
378;-45,20819784;-22,78874002
379;-45,20819784;-22,78874002
38;-45,2670213;-22,79269703
380;-45,20574756;-22,78451382
381;-45,21001692;-22,78850136
364;-45,21001692;-22,78850136
382;-45,20849729;-22,78878434
383;-45,209602;-22,78989989
384;-45,21100846;-22,79063342
385;-45,21054561;-22,79209958
386;-45,21100846;-22,79063342
387;-45,21054561;-22,79209958
388;-45,21054561;-22,79209958
389;-45,21054561;-22,79209958
39;-45,2670213;-22,79269703
390;-45,21054561;-22,79209958
